"councilor_id","name.x","councilor_uid","gender","party","constituency","county","district","param","status","name.y","votes","votes_detail","votes_percentage","pc.balance","pc.in_total","pc.out_total","pc.in.in_civil","pc.in.in_party","pc.in.in_others","pc.in.in_profit","pc.in.in_anonymous","pc.in.in_individual","pc.out.out_rally","pc.out.out_return","pc.out.out_travel","pc.out.out_exchequer","pc.out.out_personnel","pc.out.out_propagate","pc.out.out_miscellaneous","pc.out.out_campaign_office","pc.out.out_public_relation","pc.out.out_campaign_vehicle","absent","present","absent_rt","present_rt","abstain","no","no_show","yes","votet_rt","suggestions_count","approved_expense","priproposer","sponsor","交通","其它","地總","工務","教育","民政","法規","警衛","財建","主計","人事","勞工","原民","地政","城鄉","客家","捷運","文化","新聞","水利","法制","消防","環保","研考","社會","秘書","經發","衛生","觀光","警政","議會","財政","農業","保安","建設","稅務","都發","會務","本會","臨時動議","財經","NA","內政","社政","衛生環境","農林"
2766,"闕枚莎","6719c21671f645378ba3d52e4ab50985","女","中國國民黨",2,"臺北市","內湖區、南港區","{""suggestions_piles"": [{""sum"": 1980000, ""count"": 4, ""label"": ""國中、國小"", ""tokens"": ""國中|國小""}, {""sum"": 400000, ""count"": 1, ""label"": ""廟"", ""tokens"": ""廟|宮""}], ""suggestions_years"": {""sum"": 26334420, ""count"": 57, ""years"": [{""sum"": 8310200, ""count"": 19, ""suggest_year"": ""2015"", ""small_purchase"": 10}, {""sum"": 11902800, ""count"": 18, ""suggest_year"": ""2016"", ""small_purchase"": 2}, {""sum"": 6121420, ""count"": 20, ""suggest_year"": ""2017"", ""small_purchase"": 4}]}, ""attendance_statistics"": {""total"": 137, ""absent"": 13}, ""bills_party_diversity"": [{""party"": ""中國國民黨"", ""ratio"": 0.63097713097713097713}, {""party"": ""民主進步黨"", ""ratio"": 0.25363825363825363825}, {""party"": ""新黨"", ""ratio"": 0.03534303534303534304}, {""party"": ""無黨籍"", ""ratio"": 0.03430353430353430353}, {""party"": ""親民黨"", ""ratio"": 0.01663201663201663202}, {""party"": ""民國黨"", ""ratio"": 0.01611226611226611227}, {""party"": ""臺灣團結聯盟"", ""ratio"": 0.01299376299376299376}], ""bills_role_statistics"": {""total"": 77, ""sponsor"": 75, ""cosponsor"": 0, ""priproposer"": 2}, ""suggestions_associations"": [], ""votes_decision_statistics"": {""agree"": 11, ""total"": 43, ""abstain"": 0, ""conflict"": 1, ""disagree"": 6, ""not_voting"": 26}}","register","闕枚莎",19956,"[{""votes"": ""10214"", ""district"": ""南港區"", ""votes_percentage"": ""15.38%""}, {""votes"": ""9742"", ""district"": ""內湖區"", ""votes_percentage"": ""6.38%""}]","9.11%",308771,10779230,10470459,250000,50000,1230,6545000,6000,3927000,163400,530000,0,300000,215140,8854047,307872,100000,0,0,13,124,9.49,90.51,0,6,26,11,39.53,57,26334420,2,75,6,4,0,7,17,16,9,11,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2767,"黃珊珊","c09ee00d7321467cbc3b0ea80750efd0","女","親民黨",2,"臺北市","內湖區、南港區","{""suggestions_piles"": [{""sum"": 4600000, ""count"": 1, ""label"": ""廟"", ""tokens"": ""廟|宮""}, {""sum"": 2312000, ""count"": 1, ""label"": ""消防局"", ""tokens"": ""消防局|消防隊|分隊|中隊""}, {""sum"": 2312000, ""count"": 1, ""label"": ""國中、國小"", ""tokens"": ""國中|國小""}, {""sum"": 115000, ""count"": 1, ""label"": ""警察局"", ""tokens"": ""警察局|分局""}], ""suggestions_years"": {""sum"": 63529081, ""count"": 36, ""years"": [{""sum"": 22508200, ""count"": 13, ""suggest_year"": ""2015"", ""small_purchase"": 2}, {""sum"": 14440000, ""count"": 6, ""suggest_year"": ""2016"", ""small_purchase"": 0}, {""sum"": 26580881, ""count"": 17, ""suggest_year"": ""2017"", ""small_purchase"": 0}]}, ""attendance_statistics"": {""total"": 137, ""absent"": 13}, ""bills_party_diversity"": [{""party"": ""中國國民黨"", ""ratio"": 0.40406779661016949153}, {""party"": ""民主進步黨"", ""ratio"": 0.39864406779661016949}, {""party"": ""親民黨"", ""ratio"": 0.06644067796610169492}, {""party"": ""無黨籍"", ""ratio"": 0.05491525423728813559}, {""party"": ""臺灣團結聯盟"", ""ratio"": 0.02847457627118644068}, {""party"": ""新黨"", ""ratio"": 0.02847457627118644068}, {""party"": ""民國黨"", ""ratio"": 0.01898305084745762712}], ""bills_role_statistics"": {""total"": 62, ""sponsor"": 60, ""cosponsor"": 0, ""priproposer"": 2}, ""suggestions_associations"": [], ""votes_decision_statistics"": {""agree"": 21, ""total"": 43, ""abstain"": 1, ""conflict"": 0, ""disagree"": 7, ""not_voting"": 14}}","register","黃珊珊",28020,"[{""votes"": ""6376"", ""district"": ""南港區"", ""votes_percentage"": ""9.60%""}, {""votes"": ""21644"", ""district"": ""內湖區"", ""votes_percentage"": ""14.19%""}]","12.80%",5150198,17943289,12793091,200000,1300000,4655,8771000,1000,7666634,371960,1093000,632683,0,2487973,5055962,1957306,489693,90543,613971,13,124,9.49,90.51,1,7,14,21,67.44,36,63529081,2,60,8,0,0,8,15,8,5,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2768,"高嘉瑜","1e573ac2bab34acf90a9687a088f84d5","女","民主進步黨",2,"臺北市","內湖區、南港區","{""suggestions_piles"": [{""sum"": 6964100, ""count"": 3, ""label"": ""國中、國小"", ""tokens"": ""國中|國小""}], ""suggestions_years"": {""sum"": 46100100, ""count"": 58, ""years"": [{""sum"": 13340200, ""count"": 15, ""suggest_year"": ""2015"", ""small_purchase"": 0}, {""sum"": 19314800, ""count"": 22, ""suggest_year"": ""2016"", ""small_purchase"": 1}, {""sum"": 13445100, ""count"": 21, ""suggest_year"": ""2017"", ""small_purchase"": 0}]}, ""attendance_statistics"": {""total"": 137, ""absent"": 0}, ""bills_party_diversity"": [{""party"": ""民主進步黨"", ""ratio"": 0.63360655737704918033}, {""party"": ""中國國民黨"", ""ratio"": 0.26639344262295081967}, {""party"": ""無黨籍"", ""ratio"": 0.03278688524590163934}, {""party"": ""親民黨"", ""ratio"": 0.02131147540983606557}, {""party"": ""新黨"", ""ratio"": 0.01639344262295081967}, {""party"": ""民國黨"", ""ratio"": 0.01557377049180327869}, {""party"": ""臺灣團結聯盟"", ""ratio"": 0.01393442622950819672}], ""bills_role_statistics"": {""total"": 48, ""sponsor"": 44, ""cosponsor"": 0, ""priproposer"": 4}, ""suggestions_associations"": [], ""votes_decision_statistics"": {""agree"": 13, ""total"": 43, ""abstain"": 1, ""conflict"": 1, ""disagree"": 7, ""not_voting"": 22}}","register","高嘉瑜",34117,"[{""votes"": ""9101"", ""district"": ""南港區"", ""votes_percentage"": ""13.70%""}, {""votes"": ""25016"", ""district"": ""內湖區"", ""votes_percentage"": ""16.40%""}]","15.58%",1021399,3752695,2731296,20000,0,1395,2358000,33700,1339600,70000,5000,10780,300000,330000,1816842,145714,17500,35460,0,0,137,0,100,1,7,22,13,48.84,58,46100100,4,44,8,5,0,8,7,2,5,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2769,"林世宗","049fb7f59020421e96b6386d211be6d3","男","民主進步黨",1,"臺北市","北投區、士林區","{""suggestions_piles"": [], ""suggestions_years"": {""sum"": 6318668, ""count"": 12, ""years"": [{""sum"": 1443000, ""count"": 3, ""suggest_year"": ""2015"", ""small_purchase"": 0}, {""sum"": 1446000, ""count"": 3, ""suggest_year"": ""2016"", ""small_purchase"": 2}, {""sum"": 3429668, ""count"": 6, ""suggest_year"": ""2017"", ""small_purchase"": 1}]}, ""attendance_statistics"": {""total"": 137, ""absent"": 4}, ""bills_party_diversity"": [{""party"": ""民主進步黨"", ""ratio"": 0.55046649703138252757}, {""party"": ""中國國民黨"", ""ratio"": 0.32994062765055131467}, {""party"": ""無黨籍"", ""ratio"": 0.04240882103477523325}, {""party"": ""親民黨"", ""ratio"": 0.02290076335877862595}, {""party"": ""新黨"", ""ratio"": 0.02290076335877862595}, {""party"": ""臺灣團結聯盟"", ""ratio"": 0.01696352841391009330}, {""party"": ""民國黨"", ""ratio"": 0.01441899915182357930}], ""bills_role_statistics"": {""total"": 46, ""sponsor"": 45, ""cosponsor"": 0, ""priproposer"": 1}, ""suggestions_associations"": [], ""votes_decision_statistics"": {""agree"": 11, ""total"": 43, ""abstain"": 2, ""conflict"": 6, ""disagree"": 8, ""not_voting"": 22}}","register","林世宗",12334,"[{""votes"": ""5127"", ""district"": ""士林區"", ""votes_percentage"": ""3.12%""}, {""votes"": ""7207"", ""district"": ""北投區"", ""votes_percentage"": ""5.09%""}]","4.03%",-3225140,2251189,5476329,10000,0,101,513000,0,1728088,0,112000,0,0,448000,4597673,264545,0,54111,0,4,133,2.92,97.08,2,8,22,11,48.84,12,6318668,1,45,4,5,0,4,6,5,3,12,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2770,"陳重文","9cced71282f445b2b8575e909a6cfb85","男","中國國民黨",1,"臺北市","北投區、士林區","{""suggestions_piles"": [], ""suggestions_years"": {""sum"": 61376183, ""count"": 72, ""years"": [{""sum"": 25202000, ""count"": 13, ""suggest_year"": ""2015"", ""small_purchase"": 0}, {""sum"": 24355500, ""count"": 24, ""suggest_year"": ""2016"", ""small_purchase"": 2}, {""sum"": 11818683, ""count"": 35, ""suggest_year"": ""2017"", ""small_purchase"": 7}]}, ""attendance_statistics"": {""total"": 137, ""absent"": 12}, ""bills_party_diversity"": [{""party"": ""中國國民黨"", ""ratio"": 0.59562109025915996425}, {""party"": ""民主進步黨"", ""ratio"": 0.27569258266309204647}, {""party"": ""無黨籍"", ""ratio"": 0.03798033958891867739}, {""party"": ""親民黨"", ""ratio"": 0.02904378909740840036}, {""party"": ""新黨"", ""ratio"": 0.02815013404825737265}, {""party"": ""臺灣團結聯盟"", ""ratio"": 0.01831992850759606792}, {""party"": ""民國黨"", ""ratio"": 0.01519213583556747096}], ""bills_role_statistics"": {""total"": 88, ""sponsor"": 85, ""cosponsor"": 0, ""priproposer"": 3}, ""suggestions_associations"": [], ""votes_decision_statistics"": {""agree"": 21, ""total"": 43, ""abstain"": 1, ""conflict"": 3, ""disagree"": 9, ""not_voting"": 12}}","register","陳重文",13299,"[{""votes"": ""3672"", ""district"": ""士林區"", ""votes_percentage"": ""2.23%""}, {""votes"": ""9627"", ""district"": ""北投區"", ""votes_percentage"": ""6.80%""}]","4.35%",-589590,166800,756390,0,50000,0,50000,0,66800,0,0,0,0,0,756390,0,0,0,0,12,125,8.76,91.24,1,9,12,21,72.09,72,61376183,3,85,7,6,0,11,20,16,8,11,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2771,"陳政忠","cbf340b72fd3402c9d3675164123c528","男","無黨籍",1,"臺北市","北投區、士林區","{""suggestions_piles"": [{""sum"": 500000, ""count"": 2, ""label"": ""國中、國小"", ""tokens"": ""國中|國小""}, {""sum"": 133000, ""count"": 1, ""label"": ""廟"", ""tokens"": ""廟|宮""}], ""suggestions_years"": {""sum"": 61858313, ""count"": 70, ""years"": [{""sum"": 12226000, ""count"": 15, ""suggest_year"": ""2015"", ""small_purchase"": 1}, {""sum"": 33857000, ""count"": 32, ""suggest_year"": ""2016"", ""small_purchase"": 0}, {""sum"": 15775313, ""count"": 23, ""suggest_year"": ""2017"", ""small_purchase"": 2}]}, ""attendance_statistics"": {""total"": 137, ""absent"": 6}, ""bills_party_diversity"": [{""party"": ""中國國民黨"", ""ratio"": 0.44008264462809917355}, {""party"": ""民主進步黨"", ""ratio"": 0.36363636363636363636}, {""party"": ""無黨籍"", ""ratio"": 0.08367768595041322314}, {""party"": ""親民黨"", ""ratio"": 0.04958677685950413223}, {""party"": ""新黨"", ""ratio"": 0.02892561983471074380}, {""party"": ""臺灣團結聯盟"", ""ratio"": 0.01756198347107438017}, {""party"": ""民國黨"", ""ratio"": 0.01652892561983471074}], ""bills_role_statistics"": {""total"": 37, ""sponsor"": 26, ""cosponsor"": 0, ""priproposer"": 11}, ""suggestions_associations"": [], ""votes_decision_statistics"": {""agree"": 10, ""total"": 43, ""abstain"": 3, ""conflict"": 0, ""disagree"": 3, ""not_voting"": 27}}","register","陳政忠",16623,"[{""votes"": ""11892"", ""district"": ""士林區"", ""votes_percentage"": ""7.24%""}, {""votes"": ""4731"", ""district"": ""北投區"", ""votes_percentage"": ""3.34%""}]","5.43%",-37365,7560292,7597657,50000,0,292,3726000,20000,3764000,216500,820000,29893,0,0,6103626,93578,144060,0,190000,6,131,4.38,95.62,3,3,27,10,37.21,70,61858313,11,26,4,1,0,4,8,4,4,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2772,"汪志冰","365efe57051c4288808e7a55fb2e9992","女","中國國民黨",1,"臺北市","北投區、士林區","{""suggestions_piles"": [{""sum"": 459000, ""count"": 1, ""label"": ""廟"", ""tokens"": ""廟|宮""}, {""sum"": 133000, ""count"": 1, ""label"": ""國中、國小"", ""tokens"": ""國中|國小""}], ""suggestions_years"": {""sum"": 16537867, ""count"": 38, ""years"": [{""sum"": 4962000, ""count"": 10, ""suggest_year"": ""2015"", ""small_purchase"": 0}, {""sum"": 6890000, ""count"": 12, ""suggest_year"": ""2016"", ""small_purchase"": 2}, {""sum"": 4685867, ""count"": 16, ""suggest_year"": ""2017"", ""small_purchase"": 4}]}, ""attendance_statistics"": {""total"": 137, ""absent"": 6}, ""bills_party_diversity"": [{""party"": ""中國國民黨"", ""ratio"": 0.60940099833610648918}, {""party"": ""民主進步黨"", ""ratio"": 0.27079866888519134775}, {""party"": ""無黨籍"", ""ratio"": 0.03618968386023294509}, {""party"": ""新黨"", ""ratio"": 0.02953410981697171381}, {""party"": ""親民黨"", ""ratio"": 0.01955074875207986689}, {""party"": ""民國黨"", ""ratio"": 0.01747088186356073211}, {""party"": ""臺灣團結聯盟"", ""ratio"": 0.01705490848585690516}], ""bills_role_statistics"": {""total"": 102, ""sponsor"": 100, ""cosponsor"": 0, ""priproposer"": 2}, ""suggestions_associations"": [], ""votes_decision_statistics"": {""agree"": 21, ""total"": 43, ""abstain"": 0, ""conflict"": 1, ""disagree"": 8, ""not_voting"": 14}}","register","汪志冰",18021,"[{""votes"": ""8927"", ""district"": ""士林區"", ""votes_percentage"": ""5.43%""}, {""votes"": ""9094"", ""district"": ""北投區"", ""votes_percentage"": ""6.42%""}]","5.89%",-231573,6363406,6594979,216000,50000,306,1807000,10000,4280100,554045,365000,249232,0,1619888,1843720,1099121,245400,80395,538178,6,131,4.38,95.62,0,8,14,21,67.44,38,16537867,2,100,10,10,0,15,18,17,11,15,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2773,"林瑞圖","ce5d1145480a4daca49e8e5b7fb9c53d","男","無黨籍",1,"臺北市","北投區、士林區","{""suggestions_piles"": [{""sum"": 4013500, ""count"": 4, ""label"": ""國中、國小"", ""tokens"": ""國中|國小""}, {""sum"": 110000, ""count"": 1, ""label"": ""廟"", ""tokens"": ""廟|宮""}], ""suggestions_years"": {""sum"": 77314742, ""count"": 83, ""years"": [{""sum"": 19041000, ""count"": 23, ""suggest_year"": ""2015"", ""small_purchase"": 5}, {""sum"": 37775000, ""count"": 29, ""suggest_year"": ""2016"", ""small_purchase"": 1}, {""sum"": 20498742, ""count"": 31, ""suggest_year"": ""2017"", ""small_purchase"": 8}]}, ""attendance_statistics"": {""total"": 137, ""absent"": 3}, ""bills_party_diversity"": [{""party"": ""中國國民黨"", ""ratio"": 0.51691240242844752819}, {""party"": ""民主進步黨"", ""ratio"": 0.32784041630529054640}, {""party"": ""無黨籍"", ""ratio"": 0.06764960971379011275}, {""party"": ""新黨"", ""ratio"": 0.03816131830008673027}, {""party"": ""親民黨"", ""ratio"": 0.02341717259323503903}, {""party"": ""民國黨"", ""ratio"": 0.01387684301821335646}, {""party"": ""臺灣團結聯盟"", ""ratio"": 0.01214223764093668690}], ""bills_role_statistics"": {""total"": 45, ""sponsor"": 45, ""cosponsor"": 0, ""priproposer"": 0}, ""suggestions_associations"": [], ""votes_decision_statistics"": {""agree"": 22, ""total"": 43, ""abstain"": 0, ""conflict"": 0, ""disagree"": 7, ""not_voting"": 14}}","register","林瑞圖",20065,"[{""votes"": ""7850"", ""district"": ""士林區"", ""votes_percentage"": ""4.78%""}, {""votes"": ""12215"", ""district"": ""北投區"", ""votes_percentage"": ""8.62%""}]","6.56%",5155871,12568055,7412184,200000,0,1755,6044000,9500,6312800,553775,826000,32064,50000,1629180,3512544,358985,0,20200,429436,3,134,2.19,97.81,0,7,14,22,67.44,83,77314742,0,45,4,0,0,10,7,9,5,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2774,"王威中","5183f5bc49e848f786b25d41cbff54ef","男","民主進步黨",1,"臺北市","北投區、士林區","{""suggestions_piles"": [], ""suggestions_years"": {""sum"": 657500, ""count"": 3, ""years"": [{""sum"": 138000, ""count"": 1, ""suggest_year"": ""2015"", ""small_purchase"": 0}, {""sum"": 519500, ""count"": 2, ""suggest_year"": ""2016"", ""small_purchase"": 0}]}, ""attendance_statistics"": {""total"": 137, ""absent"": 4}, ""bills_party_diversity"": [{""party"": ""民主進步黨"", ""ratio"": 0.57159221076746849943}, {""party"": ""中國國民黨"", ""ratio"": 0.30584192439862542955}, {""party"": ""無黨籍"", ""ratio"": 0.04123711340206185567}, {""party"": ""親民黨"", ""ratio"": 0.02577319587628865979}, {""party"": ""新黨"", ""ratio"": 0.02348224513172966781}, {""party"": ""民國黨"", ""ratio"": 0.01660939289805269187}, {""party"": ""臺灣團結聯盟"", ""ratio"": 0.01546391752577319588}], ""bills_role_statistics"": {""total"": 69, ""sponsor"": 67, ""cosponsor"": 0, ""priproposer"": 2}, ""suggestions_associations"": [], ""votes_decision_statistics"": {""agree"": 18, ""total"": 43, ""abstain"": 3, ""conflict"": 5, ""disagree"": 9, ""not_voting"": 13}}","register","王威中",20649,"[{""votes"": ""11092"", ""district"": ""士林區"", ""votes_percentage"": ""6.75%""}, {""votes"": ""9557"", ""district"": ""北投區"", ""votes_percentage"": ""6.75%""}]","6.75%",-293410,3143226,3436636,50000,0,142,636000,47884,2409200,32800,6000,90252,100000,355775,2662313,91200,40296,0,58000,4,133,2.92,97.08,3,9,13,18,69.77,3,657500,2,67,9,6,0,11,8,8,6,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2775,"陳建銘","d68d2180666b402db3551cae6155dd9e","男","臺灣團結聯盟",1,"臺北市","北投區、士林區","{""suggestions_piles"": [{""sum"": 6055000, ""count"": 2, ""label"": ""國中、國小"", ""tokens"": ""國中|國小""}, {""sum"": 1133000, ""count"": 4, ""label"": ""廟"", ""tokens"": ""廟|宮""}, {""sum"": 15000, ""count"": 1, ""label"": ""辦公室"", ""tokens"": ""辦公室|辦公處""}], ""suggestions_years"": {""sum"": 41232578, ""count"": 47, ""years"": [{""sum"": 21861000, ""count"": 18, ""suggest_year"": ""2015"", ""small_purchase"": 5}, {""sum"": 11313667, ""count"": 15, ""suggest_year"": ""2016"", ""small_purchase"": 0}, {""sum"": 8057911, ""count"": 14, ""suggest_year"": ""2017"", ""small_purchase"": 2}]}, ""attendance_statistics"": {""total"": 137, ""absent"": 9}, ""bills_party_diversity"": [{""party"": ""中國國民黨"", ""ratio"": 0.43406326034063260341}, {""party"": ""民主進步黨"", ""ratio"": 0.38150851581508515815}, {""party"": ""臺灣團結聯盟"", ""ratio"": 0.04768856447688564477}, {""party"": ""無黨籍"", ""ratio"": 0.03990267639902676399}, {""party"": ""親民黨"", ""ratio"": 0.03941605839416058394}, {""party"": ""新黨"", ""ratio"": 0.03260340632603406326}, {""party"": ""民國黨"", ""ratio"": 0.02481751824817518248}], ""bills_role_statistics"": {""total"": 98, ""sponsor"": 72, ""cosponsor"": 0, ""priproposer"": 26}, ""suggestions_associations"": [], ""votes_decision_statistics"": {""agree"": 21, ""total"": 43, ""abstain"": 0, ""conflict"": 0, ""disagree"": 7, ""not_voting"": 15}}","register","陳建銘",20952,"[{""votes"": ""13162"", ""district"": ""士林區"", ""votes_percentage"": ""8.01%""}, {""votes"": ""7790"", ""district"": ""北投區"", ""votes_percentage"": ""5.50%""}]","6.85%",-1050836,10923648,11974484,30000,200000,3048,3154000,30000,7506600,1716946,0,182237,0,3853320,3045212,2563179,406327,33300,173963,9,128,6.57,93.43,0,7,15,21,65.12,47,41232578,26,72,11,1,0,11,30,16,5,15,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2776,"謝維洲","1f4a0ab92ab04bccadb8cefcf1bf6d0e","男","民主進步黨",1,"臺北市","北投區、士林區","{""suggestions_piles"": [{""sum"": 2981000, ""count"": 1, ""label"": ""國中、國小"", ""tokens"": ""國中|國小""}, {""sum"": 1400000, ""count"": 1, ""label"": ""廟"", ""tokens"": ""廟|宮""}], ""suggestions_years"": {""sum"": 30786350, ""count"": 33, ""years"": [{""sum"": 1550000, ""count"": 2, ""suggest_year"": ""2015"", ""small_purchase"": 0}, {""sum"": 7405000, ""count"": 8, ""suggest_year"": ""2016"", ""small_purchase"": 0}, {""sum"": 21831350, ""count"": 23, ""suggest_year"": ""2017"", ""small_purchase"": 4}]}, ""attendance_statistics"": {""total"": 137, ""absent"": 10}, ""bills_party_diversity"": [{""party"": ""民主進步黨"", ""ratio"": 0.56171983356449375867}, {""party"": ""中國國民黨"", ""ratio"": 0.30790568654646324549}, {""party"": ""無黨籍"", ""ratio"": 0.04438280166435506241}, {""party"": ""親民黨"", ""ratio"": 0.02704576976421636616}, {""party"": ""臺灣團結聯盟"", ""ratio"": 0.02219140083217753121}, {""party"": ""新黨"", ""ratio"": 0.02011095700416088766}, {""party"": ""民國黨"", ""ratio"": 0.01664355062413314840}], ""bills_role_statistics"": {""total"": 62, ""sponsor"": 51, ""cosponsor"": 0, ""priproposer"": 11}, ""suggestions_associations"": [], ""votes_decision_statistics"": {""agree"": 21, ""total"": 43, ""abstain"": 1, ""conflict"": 4, ""disagree"": 11, ""not_voting"": 10}}","register","謝維洲",21687,"[{""votes"": ""11991"", ""district"": ""士林區"", ""votes_percentage"": ""7.30%""}, {""votes"": ""9696"", ""district"": ""北投區"", ""votes_percentage"": ""6.84%""}]","7.09%",-404556,6074233,6478789,30000,0,733,1530000,2500,4511000,164300,116000,50153,0,2824390,2450169,730921,22256,0,120600,10,127,7.3,92.7,1,11,10,21,76.74,33,30786350,11,51,7,6,0,10,11,8,3,7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2777,"陳慈慧","8ebe6809e9e04179aec6663dda4c1047","女","民主進步黨",1,"臺北市","北投區、士林區","{""suggestions_piles"": [{""sum"": 5918000, ""count"": 3, ""label"": ""國中、國小"", ""tokens"": ""國中|國小""}, {""sum"": 43000, ""count"": 1, ""label"": ""消防局"", ""tokens"": ""消防局|消防隊|分隊|中隊""}], ""suggestions_years"": {""sum"": 78739937, ""count"": 69, ""years"": [{""sum"": 12082000, ""count"": 14, ""suggest_year"": ""2015"", ""small_purchase"": 1}, {""sum"": 21749167, ""count"": 27, ""suggest_year"": ""2016"", ""small_purchase"": 3}, {""sum"": 44908770, ""count"": 28, ""suggest_year"": ""2017"", ""small_purchase"": 6}]}, ""attendance_statistics"": {""total"": 137, ""absent"": 7}, ""bills_party_diversity"": [{""party"": ""民主進步黨"", ""ratio"": 0.55761024182076813656}, {""party"": ""中國國民黨"", ""ratio"": 0.31673779042200094832}, {""party"": ""無黨籍"", ""ratio"": 0.04362256993835941204}, {""party"": ""親民黨"", ""ratio"": 0.02797534376481744903}, {""party"": ""新黨"", ""ratio"": 0.01991465149359886202}, {""party"": ""臺灣團結聯盟"", ""ratio"": 0.01754385964912280702}, {""party"": ""民國黨"", ""ratio"": 0.01659554291133238502}], ""bills_role_statistics"": {""total"": 86, ""sponsor"": 84, ""cosponsor"": 0, ""priproposer"": 2}, ""suggestions_associations"": [], ""votes_decision_statistics"": {""agree"": 19, ""total"": 43, ""abstain"": 5, ""conflict"": 6, ""disagree"": 9, ""not_voting"": 10}}","register","陳慈慧",22688,"[{""votes"": ""14128"", ""district"": ""士林區"", ""votes_percentage"": ""8.60%""}, {""votes"": ""8560"", ""district"": ""北投區"", ""votes_percentage"": ""6.04%""}]","7.42%",-84547,8208840,8293387,0,0,340,2778000,14500,5416000,65640,840000,3440,0,1555805,4485094,362992,193800,0,786616,7,130,5.11,94.89,5,9,10,19,76.74,69,78739937,2,84,10,5,0,14,17,16,2,9,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
